company_id,date,cnxl_cd,cancel division,ex_company_id,count
C5,2025-11-09,C,WEATHER/ATC,  ,20
OO,2025-11-11,C,WEATHER/ATC,  ,121
YV,2025-11-07,C,WEATHER/ATC,  ,8
C5,2025-11-12,C,WEATHER/ATC,  ,30
C5,2025-11-10,C,WEATHER/ATC,  ,22
YX,2025-11-07,C,WEATHER/ATC,  ,22
G7,2025-11-12,C,WEATHER/ATC,  ,24
YV,2025-11-09,C,WEATHER/ATC,  ,14
G7,2025-11-08,C,WEATHER/ATC,  ,35
YX,2025-11-09,C,WEATHER/ATC,  ,129
YV,2025-11-12,C,WEATHER/ATC,  ,26
C5,2025-11-08,C,WEATHER/ATC,  ,14
C5,2025-11-07,C,WEATHER/ATC,  ,14
YX,2025-11-11,C,WEATHER/ATC,  ,44
G7,2025-11-09,C,WEATHER/ATC,  ,100
YX,2025-11-12,C,WEATHER/ATC,  ,31
G7,2025-11-07,C,WEATHER/ATC,  ,22
YV,2025-11-08,C,WEATHER/ATC,  ,8
G7,2025-11-10,C,WEATHER/ATC,  ,75
G7,2025-11-11,C,WEATHER/ATC,  ,24
YV,2025-11-11,C,WEATHER/ATC,  ,24
YV,2025-11-10,C,WEATHER/ATC,  ,14
YX,2025-11-08,C,WEATHER/ATC,  ,63
G7,2025-11-12,C,TECHNICAL OPERATIONS-AIRCRAFT,OO,2
YX,2025-11-10,C,WEATHER/ATC,  ,113
OO,2025-11-07,C,WEATHER/ATC,  ,70
OO,2025-11-10,C,WEATHER/ATC,  ,187
C5,2025-11-11,C,WEATHER/ATC,  ,24
OO,2025-11-09,C,WEATHER/ATC,  ,148
OO,2025-11-12,C,WEATHER/ATC,  ,112
OO,2025-11-08,C,WEATHER/ATC,  ,64
