express partner,flight num,dep stn,arrv stn,cancel description,a/c type,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
C5-Commutair,4225,IAH,ICT,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,37,2025-11-08 11:00:00,2025-11-06 14:32:29.447,(2 20:),  
C5-Commutair,4227,AVP,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0142,49,2025-11-12 10:30:00,2025-11-09 13:49:13.217,(3 20:),  
C5-Commutair,4228,BHM,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,49,2025-11-09 15:00:00,2025-11-06 17:03:28.710,(3 21:),  
C5-Commutair,4228,BHM,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,50,2025-11-10 15:00:00,2025-11-07 14:52:00.000,(4 00:),  
C5-Commutair,4228,BHM,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0125,44,2025-11-12 15:00:00,2025-11-09 12:43:13.892,(4 02:),  
C5-Commutair,4229,CAE,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0151,48,2025-11-07 14:50:00,2025-11-06 14:43:27.632,(2 00:),  
C5-Commutair,4234,GPT,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,39,2025-11-11 11:52:00,2025-11-07 15:22:10.551,(4 20:),  
C5-Commutair,4236,IAH,MFE,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0161,45,2025-11-10 14:30:00,2025-11-07 14:41:00.000,(3 23:),  
C5-Commutair,4236,IAH,MFE,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,38,2025-11-11 14:30:00,2025-11-07 15:14:52.086,(4 23:),  
C5-Commutair,4238,IAH,XNA,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,46,2025-11-09 16:30:00,2025-11-06 17:04:09.829,(3 23:),  
C5-Commutair,4239,IAH,BHM,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,31,2025-11-09 12:13:00,2025-11-06 17:03:29.031,(3 19:),  
C5-Commutair,4239,IAH,BHM,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,49,2025-11-10 12:13:00,2025-11-07 14:52:00.000,(3 21:),  
C5-Commutair,4239,IAH,BHM,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0125,37,2025-11-12 12:13:00,2025-11-09 12:43:14.604,(3 23:),  
C5-Commutair,4242,SGF,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0156,38,2025-11-07 15:05:00,2025-11-06 13:46:00.000,(2 01:),  
C5-Commutair,4249,IAD,AVP,XF - EXTREME WEATHER,ERJ-145,0144,49,2025-11-09 17:30:00,2025-11-09 22:07:43.806,04:37,  
C5-Commutair,4250,IAD,PVD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,48,2025-11-08 17:10:00,2025-11-06 15:31:17.841,(3 01:),  
C5-Commutair,4250,IAD,PVD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,46,2025-11-10 17:10:00,2025-11-07 16:03:00.000,(4 01:),  
C5-Commutair,4252,IAH,MEM,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0202,45,2025-11-07 14:20:00,2025-11-06 13:40:00.000,(2 00:),  
C5-Commutair,4252,IAH,MEM,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,44,2025-11-09 14:20:00,2025-11-06 17:04:55.156,(3 21:),  
C5-Commutair,4252,IAH,MEM,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0197,46,2025-11-12 14:20:00,2025-11-09 12:46:17.039,(4 01:),  
