express partner,flight num,original segment,dep stn,divert stn,act arrv stn,divert description,a/c type,nose,sch arrv time (local),divert time (divert sta local),act arrv time (local),arrv diff mins,status,divert recovered
YX-Republic,3477,ORD- ROC,ORD ,PIT ,,DW - WEATHER/ATC,ERJ-175,0784,2025-11-09 13:20:00,13:55, ,     ,AT GATE IN PIT AND TERM,No
YX-Republic,3570,EYW- ORD,EYW ,JAX ,ORD ,DH - UNRULY PASSENGER,ERJ-175,0722,2025-11-08 18:46:00,15:16,20:23,97   ,AT GATE IN ORD,Yes
YX-Republic,3614,ORD- CMH,ORD ,CVG ,CMH ,DW - WEATHER/ATC,ERJ-175,0776,2025-11-07 23:44:00,00:11,10:07,623  ,AT GATE IN CMH,Yes
OO-Skywest,5351,SFO- GEG,SFO ,SEA ,GEG ,DW - WEATHER/ATC,ERJ-175,0623,2025-11-10 23:29:00,23:53,02:31,182  ,AT GATE IN GEG,Yes
OO-Skywest,5621,ORD- TYS,ORD ,ATL ,TYS ,DW - WEATHER/ATC,CRJ-200,0463,2025-11-07 20:33:00,20:29,01:06,273  ,AT GATE IN TYS,Yes
OO-Skywest,4708,SFO- ACV,SFO ,SMF ,ACV ,DW - WEATHER/ATC,ERJ-175,1375,2025-11-11 10:55:00,11:59,14:48,233  ,AT GATE IN ACV,Yes
OO-Skywest,6001,SFO- MTY,SFO ,PHX ,MTY ,DM - ILL PASSENGER,ERJ-175,0133,2025-11-09 16:20:00,12:25,21:09,289  ,AT GATE IN MTY,Yes
YV-Mesa,4041,IAH- BNA,IAH ,MEM ,BNA ,DW - WEATHER/ATC,ERJ-175,1320,2025-11-07 17:07:00,17:25,20:09,182  ,AT GATE IN BNA,Yes
YX-Republic,3647,EWR- ROC,EWR ,SYR ,PIT ,DW - WEATHER/ATC,ERJ-175,0770,2025-11-09 12:47:00,14:01, ,     ,MULTI-STOP DVRT,Yes
YX-Republic,3692,EWR- CMH,EWR ,CVG ,CMH ,DW - WEATHER/ATC,ERJ-175,0733,2025-11-07 22:53:00,00:20,10:35,702  ,AT GATE IN CMH,Yes
G7-GoJet,4168,ORD- ABE,ORD ,SBN ,ABE ,DT - MAINTENANCE,CRJ-550,0535,2025-11-11 21:16:00,19:02,01:19,243  ,AT GATE IN ABE,Yes
OO-Skywest,5332,AVP- ORD,AVP ,SBN ,ORD ,DU - FUEL STOP - UNPLANNED,CRJ-200,0982,2025-11-08 17:10:00,18:06,19:20,130  ,AT GATE IN ORD,Yes
OO-Skywest,5788,PHX- LAX,PHX ,PSP ,LAX ,DW - WEATHER/ATC,ERJ-175,0605,2025-11-09 07:11:00,08:42,10:05,174  ,AT GATE IN LAX,Yes
