express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
C5-Commutair,3262,IAD,TYS,2025-11-07,0198,2025-11-07 08:45:00,2025-11-07 10:33:00,2025-11-07 13:29:00,2025-11-07 14:49:00
C5-Commutair,3262,IAD,HSV,2025-11-12,0129,2025-11-12 07:40:00,2025-11-12 08:51:00,2025-11-12 14:10:00,2025-11-12 16:16:00
C5-Commutair,3262,IAH,ROW,2025-11-11,0139,2025-11-11 09:00:00,2025-11-11 10:30:00,2025-11-11 15:04:00,2025-11-11 16:59:00
C5-Commutair,3263,IAD,ITH,2025-11-07,0191,2025-11-07 08:00:00,2025-11-07 09:13:00,2025-11-07 12:58:00,2025-11-07 14:05:00
C5-Commutair,3264,ITH,IAD,2025-11-07,0188,2025-11-07 10:30:00,2025-11-07 11:53:00,2025-11-07 16:07:00,2025-11-07 17:19:00
C5-Commutair,3280,ROW,IAH,2025-11-11,0149,2025-11-11 11:15:00,2025-11-11 14:45:00,2025-11-11 17:45:00,2025-11-11 19:35:00
C5-Commutair,3280,HSV,IAD,2025-11-12,0189,2025-11-12 17:15:00,2025-11-12 20:00:00,2025-11-12 23:21:00,2025-11-13 01:00:00
C5-Commutair,3281,TYS,IAH,2025-11-11,0135,2025-11-11 08:00:00,2025-11-11 09:43:00,2025-11-11 14:09:00,2025-11-11 17:10:00
G7-GoJet,3375,PIT,RIC,2025-11-09,0569,2025-11-09 08:00:00,2025-11-09 09:20:00,2025-11-09 11:53:00,2025-11-09 13:15:00
G7-GoJet,3375,SBN,ORD,2025-11-12,0535,2025-11-12 12:30:00,2025-11-12 12:30:00,2025-11-12 18:16:00,2025-11-12 19:09:00
G7-GoJet,3375,EWR,BUF,2025-11-08,0539,2025-11-08 07:55:00,2025-11-08 09:20:00,2025-11-08 13:35:00,2025-11-08 15:08:00
G7-GoJet,3375,IAD,EWR,2025-11-10,0546,2025-11-10 08:00:00,2025-11-10 09:46:00,2025-11-10 14:01:00,2025-11-10 15:07:00
G7-GoJet,3375,DCA,IAD,2025-11-11,0543,2025-11-11 10:00:00,2025-11-11 11:20:00,2025-11-11 15:44:00,2025-11-11 17:07:00
G7-GoJet,3376,RIC,DCA,2025-11-08,0519,2025-11-08 15:00:00,2025-11-08 16:00:00,2025-11-08 20:06:00,2025-11-08 20:56:00
G7-GoJet,3376,ORD,SBN,2025-11-11,0504,2025-11-11 21:20:00,2025-11-11 23:20:00,2025-11-12 03:26:00,2025-11-12 04:21:00
G7-GoJet,3376,PIT,DCA,2025-11-10,0508,2025-11-10 19:30:00,2025-11-10 20:45:00,2025-11-11 01:55:00,2025-11-11 03:09:00
G7-GoJet,3377,BTV,IAD,2025-11-09,0537,2025-11-09 16:00:00,2025-11-09 17:30:00,2025-11-09 19:13:00,2025-11-09 21:51:00
G7-GoJet,3377,LEX,DAY,2025-11-11,0523,2025-11-11 10:00:00,2025-11-11 11:00:00,2025-11-11 15:41:00,2025-11-11 16:42:00
G7-GoJet,3377,CVG,BTV,2025-11-08,0549,2025-11-08 18:30:00,2025-11-08 20:30:00,2025-11-08 23:25:00,2025-11-09 01:25:00
G7-GoJet,3377,GRR,BUF,2025-11-10,0503,2025-11-10 09:40:00,2025-11-10 11:40:00,2025-11-10 14:49:00,2025-11-10 15:54:00
G7-GoJet,3378,DCA,PWM,2025-11-09,0559,2025-11-09 11:00:00,2025-11-09 12:30:00,2025-11-09 19:26:00,2025-11-09 21:35:00
G7-GoJet,3378,ORD,BUF,2025-11-11,0503,2025-11-11 08:30:00,2025-11-11 11:30:00,2025-11-11 16:18:00,2025-11-11 17:56:00
G7-GoJet,3378,RIC,CHA,2025-11-12,0520,2025-11-12 10:25:00,2025-11-12 11:55:00,2025-11-12 16:27:00,2025-11-12 18:32:00
G7-GoJet,3378,YOW,CVG,2025-11-08,0520,2025-11-08 17:30:00,2025-11-08 19:30:00,2025-11-08 23:40:00,2025-11-09 01:52:00
G7-GoJet,3378,TYS,SGF,2025-11-10,0539,2025-11-10 21:00:00,2025-11-10 22:00:00,2025-11-11 01:53:00,2025-11-11 04:28:00
G7-GoJet,3379,BUF,GSP,2025-11-09,0559,2025-11-09 19:45:00,2025-11-09 21:20:00,2025-11-10 02:36:00,2025-11-10 04:40:00
G7-GoJet,3379,ORD,ICT,2025-11-10,0538,2025-11-10 18:30:00,2025-11-10 20:10:00,2025-11-11 00:46:00,2025-11-11 02:53:00
G7-GoJet,3379,IAD,BGR,2025-11-08,0545,2025-11-08 19:00:00,2025-11-08 21:00:00,2025-11-08 23:52:00,2025-11-09 02:11:00
G7-GoJet,3380,GSP,GSO,2025-11-08,0559,2025-11-08 19:00:00,2025-11-08 20:45:00,2025-11-08 23:52:00,2025-11-09 00:39:00
