express partner,flight num,dep stn,arrv stn,cancel description,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
C5-Commutair,4237,LIT ,IAH ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0198,36,2025-11-14 15:20:00,2025-11-12 09:15:46.912,(3 06:),
C5-Commutair,4280,IAH ,LBB ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0201,50,2025-11-14 14:25:00,2025-11-12 09:17:37.981,(3 05:),
C5-Commutair,4281,CHO ,IAD ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0199,39,2025-11-14 10:35:00,2025-11-12 10:17:22.231,(3 00:),
C5-Commutair,4298,IAH ,MFE ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0136,43,2025-11-14 10:01:00,2025-11-12 09:16:42.953,(3 00:),
C5-Commutair,4314,MFE ,IAH ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0136,31,2025-11-14 12:15:00,2025-11-12 09:16:41.747,(3 02:),
C5-Commutair,4329,BRO ,IAH ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0129,37,2025-11-14 12:15:00,2025-11-12 09:16:13.468,(3 02:),
C5-Commutair,4333,IAD ,CHO ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0199,30,2025-11-14 09:00:00,2025-11-12 10:17:23.102,(2 22:),
C5-Commutair,4361,CRP ,IAH ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0170,41,2025-11-14 14:15:00,2025-11-12 09:17:14.615,(3 04:),
C5-Commutair,4813,IAH ,BRO ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0129,21,2025-11-14 10:00:00,2025-11-12 09:16:14.356,(3 00:),
C5-Commutair,4861,IAH ,LIT ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0198,36,2025-11-14 12:25:00,2025-11-12 09:15:48.103,(3 03:),
C5-Commutair,4927,IAH ,CRP ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0170,41,2025-11-14 12:09:00,2025-11-12 09:17:13.896,(3 02:),
C5-Commutair,4974,MDT ,IAD ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0146,42,2025-11-14 10:25:00,2025-11-12 10:17:47.265,(3 00:),
C5-Commutair,4978,LBB ,IAH ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0201,34,2025-11-14 17:10:00,2025-11-12 09:17:36.449,(3 07:),
C5-Commutair,4986,IAD ,MDT ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0146,34,2025-11-14 08:35:00,2025-11-12 10:17:46.459,(2 22:),
G7-GoJet,4174,DCA ,EWR ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0503,23,2025-11-14 20:20:00,2025-11-12 10:22:03.320,(3 09:),
G7-GoJet,4179,AVL ,EWR ,XQ - FAA MANDATE AIRSPACE RESTRICTION,0511,34,2025-11-14 16:41:00,2025-11-12 10:25:23.775,(3 06:),
