time_stamp,city,station,carrier,ml_ex_ind,sched_flt_lw,cnxl_flt_lw,a0_flt_lw,a14_flt_lw,d0_flt_lw_o,d0_flt_lw,sched_flt_lwminus2,cnxl_flt_lwminus2,a0_flt_lwminus2,a14_flt_lwminus2,d0_flt_lwminus2_o,d0_flt_lwminus2,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,in_sched_flt_lw,in_sched_flt_mtd
2025-11-14 08:25:27.818434+00:00,Los Angeles,LAX,UA,Express,188,32,112,135,129,133,252,6,177,219,207,210,374,32,233,292,279,286,187,374
2025-11-14 08:25:27.818434+00:00,Texas,IAH,UA,Express,1233,77,726,873,803,855,1655,9,1150,1346,1141,1248,2465,79,1600,1899,1671,1801,1233,2464
2025-11-14 08:25:27.818434+00:00,Washington DC,DCA,UA,Express,77,32,11,14,21,21,105,12,17,31,38,38,154,39,25,39,50,50,77,154
2025-11-14 08:25:27.818434+00:00,Washington DC,BWI,UA,Express,3,1,2,2,2,2,5,0,5,5,5,5,6,1,5,5,5,5,3,6
2025-11-14 08:25:27.818434+00:00,Washington DC,IAD,UA,Express,736,85,402,473,411,445,985,11,646,753,633,712,1469,86,948,1093,928,1017,737,1470
2025-11-14 08:25:27.818434+00:00,San Francisco,SFO,UA,Express,373,49,184,224,209,234,496,8,233,320,291,315,746,51,360,462,428,472,374,747
2025-11-14 08:25:27.818434+00:00,Chicago,ORD,UA,Express,1639,279,556,707,633,717,2194,15,1381,1741,1450,1604,3277,281,1592,1998,1717,1917,1639,3277
2025-11-14 08:25:27.818434+00:00,New York,LGA,UA,Express,24,14,4,6,7,7,32,2,12,17,17,17,48,14,15,21,22,22,24,48
2025-11-14 08:25:27.818434+00:00,New York,EWR,UA,Express,611,164,182,244,252,266,826,66,327,411,417,431,1224,220,447,574,597,622,611,1223
2025-11-14 08:25:27.818434+00:00,Denver,DEN,UA,Express,1175,113,821,961,866,920,1581,16,1212,1445,1300,1378,2350,113,1738,2046,1841,1946,1174,2349
2025-11-14 08:25:27.818434+00:00,LINE,LINE,UA,Express,5944,803,2983,3617,3453,4176,7971,138,5126,6235,5950,5950,11879,871,6918,8364,7979,7979,5955,11904
