time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,sched_flt_ytd,comp_flt_ytd,a0_flt_ytd,a14_flt_ytd,d0_flt_ytd_o,d0_flt_ytd,in_sched_flt_now,in_sched_flt_mtd,in_sched_flt_ytd
2025-11-14 08:25:27.818434+00:00,Line Dom,ONT,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,317,310,220,266,244,244,0,0,316
2025-11-14 08:25:27.818434+00:00,Line Dom,RDU,UA,Express,8,1,6,6,4,4,16,1,12,14,10,10,1328,1287,897,1055,978,979,8,16,1328
2025-11-14 08:25:27.818434+00:00,Line Dom,LNK,UA,Express,54,9,20,25,31,31,109,9,52,71,73,73,2614,2576,1479,1849,1789,1789,54,109,2615
2025-11-14 08:25:27.818434+00:00,Line Dom,STL,UA,Express,80,10,37,46,36,36,159,12,88,110,100,100,4079,3994,2631,3081,2854,2855,80,159,4082
2025-11-14 08:25:27.818434+00:00,Line Dom,TUL,UA,Express,64,4,37,44,39,39,128,4,85,99,94,94,3479,3424,2186,2641,2604,2604,65,129,3479
2025-11-14 08:25:27.818434+00:00,Line Dom,LAS,UA,Express,1,0,1,1,1,1,2,0,1,2,2,2,53,53,33,49,40,40,1,2,53
2025-11-14 08:25:27.818434+00:00,Line Dom,RDD,UA,Express,30,4,22,24,23,23,60,4,37,43,45,45,1248,1238,823,1027,978,978,30,60,1248
2025-11-14 08:25:27.818434+00:00,Line Dom,LAF,UA,Express,9,2,5,5,7,7,18,2,9,12,13,13,156,154,81,106,115,115,9,18,157
2025-11-14 08:25:27.818434+00:00,Line Dom,GUC,UA,Express,12,0,9,10,9,9,24,0,13,21,20,20,982,977,640,783,701,701,12,24,982
2025-11-14 08:25:27.818434+00:00,Line Dom,ATW,UA,Express,42,7,16,20,21,21,84,7,43,51,50,50,2062,2028,1168,1466,1445,1445,42,84,2062
2025-11-14 08:25:27.818434+00:00,Line Dom,ILM,UA,Express,11,1,2,4,5,5,22,2,5,10,14,14,668,628,340,439,437,437,11,22,667
2025-11-14 08:25:27.818434+00:00,Line Dom,LWS,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16,21,28,28,0,0,31
2025-11-14 08:25:27.818434+00:00,Line Dom,CHA,UA,Express,30,3,9,14,8,8,60,3,22,33,22,22,1102,1084,642,799,696,696,31,61,1104
2025-11-14 08:25:27.818434+00:00,Line Dom,JLN,UA,Express,12,0,8,9,9,9,24,0,16,19,19,19,631,613,373,451,434,434,12,24,631
2025-11-14 08:25:27.818434+00:00,Line Int,ZIH,UA,Express,2,0,0,0,2,2,4,0,1,1,4,4,123,121,63,87,94,94,2,4,123
