express partner,flight num,dep stn,arrv stn,cancel description,a/c type,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
G7-GoJet,4174,DCA,EWR,XE - ATC STAFFING,CRJ-550,0511,19,11/2/2025 08:10,11/2/2025 11:24,(08:46),  
G7-GoJet,4176,EWR,RIC,XE - ATC STAFFING,CRJ-550,0551,37,11/2/2025 05:29,11/2/2025 11:28,(06:00),  
G7-GoJet,4179,AVL,EWR,XE - ATC STAFFING,CRJ-550,0554,48,11/2/2025 04:20,11/2/2025 12:03,(04:16),  
G7-GoJet,4180,DCA,EWR,XE - ATC STAFFING,CRJ-550,0508,44,11/2/2025 06:05,11/2/2025 11:22,(06:42),  
G7-GoJet,4191,EWR,RIC,XE - ATC STAFFING,CRJ-550,0526,49,11/2/2025 08:44,11/2/2025 11:25,(09:18),  
G7-GoJet,4384,BTV,EWR,XE - ATC STAFFING,CRJ-550,0551,43,11/2/2025 02:53,11/2/2025 11:27,(03:25),  
G7-GoJet,4386,EWR,RIC,XE - ATC STAFFING,CRJ-550,0541,43,11/2/2025 06:43,11/2/2025 12:02,(06:40),  
G7-GoJet,4398,BUF,EWR,XE - ATC STAFFING,CRJ-550,0579,48,11/2/2025 07:21,11/2/2025 11:47,(07:33),  
G7-GoJet,4413,DCA,EWR,XE - ATC STAFFING,CRJ-550,0541,50,11/2/2025 04:00,11/2/2025 12:02,(03:57),  
G7-GoJet,4419,CVG,EWR,XE - ATC STAFFING,CRJ-550,0565,50,11/2/2025 06:51,11/2/2025 11:28,(07:22),  
G7-GoJet,4429,EWR,GSP,XE - ATC STAFFING,CRJ-550,0565,49,11/2/2025 09:41,11/2/2025 11:28,(10:12),  
G7-GoJet,4432,EWR,DCA,XE - ATC STAFFING,CRJ-550,0511,45,11/2/2025 05:29,11/2/2025 11:23,(06:05),  
G7-GoJet,4433,EWR,DCA,XE - ATC STAFFING,CRJ-550,0541,47,11/2/2025 02:00,11/2/2025 12:01,(01:58),  
G7-GoJet,4457,EWR,DCA,XE - ATC STAFFING,CRJ-550,0508,48,11/2/2025 08:20,11/2/2025 11:23,(08:56),  
G7-GoJet,4460,CVG,EWR,XE - ATC STAFFING,CRJ-550,0566,48,11/2/2025 03:54,11/2/2025 11:29,(04:24),  
G7-GoJet,4462,EWR,GSO,XE - ATC STAFFING,CRJ-550,0566,44,11/2/2025 07:05,11/2/2025 11:29,(07:35),  
G7-GoJet,4481,YOW,EWR,TA - TECH OPS-AIRCRAFT SERVICING,CRJ-550,0579,44,11/2/2025 03:10,11/2/2025 06:20,03:10,  
G7-GoJet,4486,PIT,EWR,XE - ATC STAFFING,CRJ-550,0526,46,11/2/2025 06:25,11/2/2025 11:24,(07:00),  
G7-GoJet,4496,EWR,ORF,XE - ATC STAFFING,CRJ-550,0546,49,11/2/2025 04:15,11/2/2025 11:26,(04:48),  
G7-GoJet,4497,EWR,AVL,XE - ATC STAFFING,CRJ-550,0554,46,11/2/2025 01:45,11/2/2025 12:02,(01:42),  
G7-GoJet,4508,GSO,EWR,XE - ATC STAFFING,CRJ-550,0546,45,11/2/2025 01:10,11/2/2025 11:26,(01:43),  
G7-GoJet,4512,EWR,CVG,XE - ATC STAFFING,CRJ-550,0541,49,11/2/2025 07:23,11/2/2025 11:25,(07:57),  
