CITY,CARRIER,report_yr,report_month,ML_EX_IND,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights
Washington DC,DL,2025,10,Express,1209.0,859.0,1198.0,794.0,42.0,24.0,42.0,20.0,42.0,32.0,42.0,29.0
Los Angeles,DL,2025,10,Express,979.0,760.0,979.0,744.0,29.0,27.0,29.0,25.0,29.0,28.0,29.0,27.0
San Francisco,AS,2025,10,Express,961.0,589.0,948.0,555.0,61.0,42.0,60.0,41.0,34.0,28.0,34.0,23.0
Texas,AS,2025,10,Express,6.0,4.0,6.0,5.0,6.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0
Los Angeles,AA,2025,10,Express,1074.0,812.0,1074.0,777.0,38.0,32.0,38.0,30.0,33.0,26.0,33.0,27.0
OTHER,DL,2025,10,Express,42105.0,33446.0,41994.0,32073.0,1368.0,1125.0,1368.0,1071.0,1363.0,1104.0,1362.0,1040.0
San Francisco,AA,2025,10,Express,173.0,120.0,173.0,101.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0
Texas,DL,2025,10,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver,AA,2025,10,Express,85.0,67.0,85.0,63.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
New York,AA,2025,10,Express,3797.0,2741.0,3770.0,1904.0,140.0,95.0,140.0,26.0,139.0,101.0,139.0,44.0
Denver,AS,2025,10,Express,40.0,19.0,39.0,7.0,8.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0
Denver,DL,2025,10,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,AA,2025,10,Express,9796.0,6955.0,9677.0,6567.0,328.0,246.0,328.0,218.0,302.0,229.0,302.0,197.0
OTHER,AS,2025,10,Express,13511.0,9222.0,13307.0,8552.0,1005.0,571.0,978.0,578.0,430.0,326.0,421.0,291.0
Chicago,DL,2025,10,Express,145.0,107.0,145.0,107.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0
OTHER,AA,2025,10,Express,58527.0,43014.0,58345.0,39528.0,1903.0,1391.0,1899.0,1201.0,1832.0,1403.0,1832.0,1201.0
Washington DC,AS,2025,10,Express,10.0,4.0,10.0,4.0,10.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0
San Francisco,DL,2025,10,Express,76.0,53.0,76.0,34.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
New York,DL,2025,10,Express,6984.0,4988.0,6905.0,4262.0,254.0,172.0,254.0,77.0,254.0,176.0,254.0,120.0
Chicago,AA,2025,10,Express,7654.0,4464.0,7646.0,4120.0,230.0,146.0,230.0,134.0,223.0,166.0,223.0,152.0
Washington DC,AA,2025,10,Express,5133.0,3469.0,5127.0,3136.0,187.0,110.0,187.0,73.0,187.0,103.0,187.0,89.0
Los Angeles,AS,2025,10,Express,882.0,585.0,863.0,589.0,55.0,34.0,55.0,34.0,27.0,21.0,27.0,22.0
New York,AS,2025,10,Express,21.0,15.0,21.0,17.0,21.0,15.0,21.0,17.0,0.0,0.0,0.0,0.0
Chicago,AS,2025,10,Express,7.0,3.0,7.0,0.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0
,AA,2025,10,Express,38159.0,26946.0,38020.0,25422.0,1238.0,893.0,1236.0,790.0,1183.0,885.0,1183.0,805.0
,AS,2025,10,Express,6666.0,4441.0,6581.0,4192.0,544.0,321.0,537.0,332.0,200.0,161.0,200.0,141.0
,DL,2025,10,Express,22936.0,17857.0,22856.0,16613.0,756.0,606.0,756.0,500.0,754.0,616.0,754.0,545.0
LINE,AA,2025,10,Express,48080.0,34696.0,47877.0,30774.0,1598.0,1135.0,1596.0,901.0,1541.0,1150.0,1541.0,913.0
LINE,AS,2025,10,Express,8772.0,6000.0,8620.0,5537.0,629.0,355.0,607.0,350.0,292.0,215.0,283.0,195.0
LINE,DL,2025,10,Express,28562.0,22356.0,28441.0,21401.0,943.0,748.0,943.0,697.0,940.0,727.0,939.0,675.0
