express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
C5-Commutair,3262,IAH,LCH,2025-10-29,0131,2025-10-29 09:00:00,2025-10-29 10:00:00,2025-10-29 15:00:00,2025-10-29 16:20:00
G7-GoJet,3376,STL,RIC,2025-10-29,0511,2025-10-29 10:30:00,2025-10-29 13:30:00,2025-10-29 16:13:00,2025-10-29 18:25:00
G7-GoJet,3395,SYR,STL,2025-10-29,0502,2025-10-29 12:00:00,2025-10-29 13:00:00,2025-10-29 15:59:00,2025-10-29 18:57:00
OO-Skywest,5192,ORD,SBN,2025-10-29,0916,2025-10-29 07:00:00,2025-10-29 08:50:00,2025-10-29 11:52:00,2025-10-29 12:45:00
OO-Skywest,5194,MKE,ORD,2025-10-29,0693,2025-10-29 11:00:00,2025-10-29 11:50:00,2025-10-29 16:08:00,2025-10-29 17:02:00
OO-Skywest,5195,ORD,FWA,2025-10-29,0986,2025-10-29 08:35:00,2025-10-29 10:25:00,2025-10-29 13:32:00,2025-10-29 14:48:00
OO-Skywest,5196,ORD,CMX,2025-10-29,0954,2025-10-29 11:30:00,2025-10-29 14:00:00,2025-10-29 16:26:00,2025-10-29 17:48:00
OO-Skywest,5197,FWA,ORD,2025-10-29,1925,2025-10-29 18:30:00,2025-10-29 18:30:00,2025-10-29 22:18:00,2025-10-30 00:02:00
OO-Skywest,6939,IAH,TUS,2025-10-29,1877,2025-10-29 14:45:00,2025-10-29 15:50:00,2025-10-29 20:57:00,2025-10-29 23:27:00
OO-Skywest,6949,GNV,ORD,2025-10-29,0109,2025-10-29 06:30:00,2025-10-29 08:10:00,2025-10-29 12:57:00,2025-10-29 16:10:00
OO-Skywest,6951,SNA,SFO,2025-10-29,0204,2025-10-29 07:00:00,2025-10-29 08:35:00,2025-10-29 14:46:00,2025-10-29 16:10:00
OO-Skywest,6958,DEN,COS,2025-10-29,0983,2025-10-29 19:00:00,2025-10-29 20:00:00,2025-10-30 01:10:00,2025-10-30 02:20:00
OO-Skywest,6961,BNA,ORD,2025-10-29,0108,2025-10-29 17:00:00,2025-10-29 19:00:00,2025-10-29 23:24:00,2025-10-30 01:43:00
OO-Skywest,6963,ORD,DEN,2025-10-29,0602,2025-10-29 10:00:00,2025-10-29 11:30:00,2025-10-29 14:50:00,2025-10-29 17:28:00
OO-Skywest,6965,LIT,ORD,2025-10-29,0464,2025-10-29 12:00:00,2025-10-29 14:00:00,2025-10-29 16:23:00,2025-10-29 19:09:00
OO-Skywest,6967,CMH,ORD,2025-10-29,0873,2025-10-29 19:30:00,2025-10-29 20:00:00,2025-10-29 23:27:00,2025-10-30 01:15:00
OO-Skywest,6968,ORD,SCE,2025-10-29,0873,2025-10-29 13:45:00,2025-10-29 16:30:00,2025-10-29 18:37:00,2025-10-29 20:34:00
YV-Mesa,3235,IAH,OKC,2025-10-29,1341,2025-10-29 16:00:00,2025-10-29 17:35:00,2025-10-29 20:55:00,2025-10-29 22:31:00
YV-Mesa,3236,GNV,IAD,2025-10-29,1333,2025-10-29 18:00:00,2025-10-29 20:40:00,2025-10-29 21:44:00,2025-10-29 23:32:00
