time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_dateminus2,cnxl_flt_dateminus2,a0_flt_dateminus2,a14_flt_dateminus2,d0_flt_dateminus2_o,d0_flt_dateminus2,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,in_sched_flt_now,in_sched_flt_mtd
2025-10-30 12:56:23.523047+00:00,Texas,IAH,UA,Express,208,0,145,182,166,171,189,0,131,154,134,145,5750,0,4208,4974,4350,4608,204,5750
2025-10-30 12:56:23.523047+00:00,Los Angeles,LAX,UA,Express,30,0,22,24,22,22,29,0,24,28,25,25,901,0,702,810,740,759,30,900
2025-10-30 12:56:23.523047+00:00,New York,EWR,UA,Express,107,0,71,87,81,83,107,0,45,62,74,77,3341,0,2059,2467,2467,2554,107,3339
2025-10-30 12:56:23.523047+00:00,New York,LGA,UA,Express,4,0,1,3,3,3,4,0,2,4,3,3,116,0,73,94,87,88,4,116
2025-10-30 12:56:23.523047+00:00,Washington DC,IAD,UA,Express,118,0,82,100,80,95,116,0,87,102,91,100,3563,0,2705,3152,2749,2917,117,3561
2025-10-30 12:56:23.523047+00:00,Chicago,ORD,UA,Express,270,0,180,230,208,218,265,0,206,234,202,222,7584,0,4402,5837,4949,5622,270,7580
2025-10-30 12:56:23.523047+00:00,Washington DC,DCA,UA,Express,14,0,5,5,8,8,14,0,6,8,6,6,289,0,144,188,169,169,14,290
2025-10-30 12:56:23.523047+00:00,San Francisco,SFO,UA,Express,62,0,51,55,51,53,61,0,48,55,51,53,1610,0,932,1168,1058,1169,62,1609
2025-10-30 12:56:23.523047+00:00,Denver,DEN,UA,Express,194,0,171,188,175,179,184,0,134,158,160,167,5938,0,3942,4935,4374,4756,194,5937
2025-10-30 12:56:23.523047+00:00,Washington DC,BWI,UA,Express,1,0,1,1,1,1,0,0,0,0,0,0,20,0,15,18,16,16,1,20
2025-10-30 12:56:23.523047+00:00,LINE,LINE,UA,Express,980,0,722,866,839,839,951,0,675,793,775,775,28617,0,18950,23343,22647,22653,984,28676
